name,P_cont_nominal,P_disp_nominal,P_cont,P_disp,repeat,status,frequency_Hz,n_detections,n_free,L_um,w_um,d_eq_um,L_over_w,polydispersity,v_drop_mm_s
pc13k_pd2.7k_r1,13000.0,2700.0,13164.7,2581.0,1,ok,33.333333333333336,69,46,176.67571955826133,127.49999450534233,163.2254192017366,1.177838130388409,0.09739911698707496,27.09519638095096
pc13k_pd2.7k_r2,13000.0,2700.0,13013.5,2736.9,2,ok,33.333333333333336,74,49,180.4347848519683,127.49999450534233,165.83719174623906,1.2028985656797886,0.09252661653946122,27.735226825627564
pc13k_pd3k_r0,13000.0,3000.0,13261.0,2962.9,0,ok,16.666666666666668,80,55,187.95288633555174,127.49999450534233,168.408464332928,1.2530192422370117,0.10251517124199483,29.413115227065163
pc13k_pd3k_r1,13000.0,3000.0,13473.7,2920.8,1,ok,16.666666666666668,80,53,180.4347848519683,127.49999450534233,166.69868944849046,1.2028985656797886,0.09842736059941293,29.718483821982403
pc13k_pd3k_r2,13000.0,3000.0,12828.0,3056.1,2,ok,33.333333333333336,84,58,195.4709878191352,127.49999450534233,171.56837332342272,1.3031399187942345,0.11139913751741107,29.346687177377333
pc13k_pd3.3k_r0,13000.0,3300.0,13012.8,3432.2,0,ok,33.333333333333336,90,64,202.98920571804047,120.00000060652383,176.810631586431,1.353261371453603,0.11270947921439979,31.04626234434383
pc13k_pd3.3k_r1,13000.0,3300.0,13049.0,3258.2,1,ok,33.333333333333336,87,63,195.4710460267961,127.49999450534233,173.8491406166571,1.3031403068453074,0.10456413523365925,30.325328057176396
pc13k_pd3.3k_r2,13000.0,3300.0,12901.8,3228.0,2,ok,33.333333333333336,87,61,202.98908930271864,127.49999450534233,173.8491406166571,1.3532605953514576,0.10187498541500054,30.072465514816916
pc13k_pd3.6k_r0,13000.0,3600.0,12667.8,3645.4,0,ok,50.0,92,65,218.02535047754645,120.00000060652383,182.88360038768107,1.4535023365169764,0.11218606881549287,31.286581178812952
pc13k_pd3.6k_r1,13000.0,3600.0,13151.1,3693.2,1,ok,50.0,95,65,218.02535047754645,120.00000060652383,181.31037889660428,1.4535023365169764,0.10863172259715588,32.595688160278456
pc13k_pd3.6k_r2,13000.0,3600.0,12803.8,3721.6,2,ok,50.0,95,65,225.543393753469,120.00000060652383,183.66515779626366,1.5036226250231266,0.11425327138825078,32.04364530790437
pc14.5k_pd2.4k_r0,14500.0,2400.0,14416.7,2475.6,0,ok,16.666666666666668,65,41,165.3985818848014,127.49999450534233,156.96236870863288,1.1026572125653427,0.08220501229153027,28.944242019650773
pc14.5k_pd2.4k_r1,14500.0,2400.0,14374.5,2364.7,1,ok,16.666666666666668,63,40,157.88048040121794,119.99999742329237,154.8953008435959,1.0525365360081196,0.09957375063217265,28.329946294985948
pc14.5k_pd2.4k_r2,14500.0,2400.0,14572.4,2449.5,2,ok,16.666666666666668,64,42,165.3985818848014,119.99999424006091,156.0471284358011,1.1026572125653427,0.09626955186858553,29.09952651380624
pc14.5k_pd2.7k_r0,14500.0,2700.0,14546.7,2668.4,0,ok,33.333333333333336,70,47,165.3985818848014,127.49999450534233,158.5513268987815,1.1026572125653427,0.09164898008619958,30.07245748969055
pc14.5k_pd2.7k_r1,14500.0,2700.0,14111.0,2624.3,1,ok,33.333333333333336,68,46,172.91668336838484,127.49999450534233,159.9007242251028,1.1527778891225655,0.09022953544467405,29.200986057490372
pc14.5k_pd2.7k_r2,14500.0,2700.0,14645.8,2753.4,2,ok,33.333333333333336,73,48,172.9166688164696,127.49999450534233,159.45219396085363,1.1527777921097975,0.09288955336318368,30.568121738691815
pc14.5k_pd3k_r0,14500.0,3000.0,14452.4,2935.5,0,ok,33.333333333333336,80,53,180.43475574813783,127.49999450534233,162.78604984703065,1.2028983716542523,0.09367425429619165,31.102373961514186
pc14.5k_pd3k_r1,14500.0,3000.0,14753.2,2923.2,1,ok,33.333333333333336,79,53,172.91668336838484,127.49999450534233,161.46076823318984,1.1527778891225655,0.09437953606023192,31.692021488936543
pc14.5k_pd3k_r2,14500.0,3000.0,14293.2,3037.3,2,ok,16.666666666666668,83,58,180.4347848519683,127.49999450534233,164.9711952696999,1.2028985656797886,0.10560875731675269,31.379210752647136
pc14.5k_pd3.3k_r0,14500.0,3300.0,13847.5,3325.5,0,ok,33.333333333333336,89,61,195.4709878191352,127.49999450534233,171.35952556089197,1.3031399187942345,0.09613840134744929,31.906216160425146
pc14.5k_pd3.3k_r1,14500.0,3300.0,14331.3,3307.2,1,ok,33.333333333333336,88,60,187.95294454321265,123.74999437270162,168.8332026224634,1.2530196302880843,0.0918479446253963,32.75782995504547
pc14.5k_pd3.3k_r2,14500.0,3300.0,14478.0,3313.3,2,ok,33.333333333333336,89,59,187.95288633555174,119.99999424006091,168.408464332928,1.2530192422370117,0.087023738874808,33.00078691933183
pc14.5k_pd3.6k_r0,14500.0,3600.0,14701.3,3545.4,0,ok,50.0,92,61,195.47101692296565,127.49999450534233,170.94106455638823,1.303140112819771,0.09260648301516558,34.6438397208378
pc14.5k_pd3.6k_r1,14500.0,3600.0,14912.1,3652.3,1,ok,50.0,94,63,195.4710460267961,127.49999450534233,171.98530801678393,1.3031403068453074,0.10126649350974065,35.408753004808624
pc14.5k_pd3.6k_r2,14500.0,3600.0,14744.7,3683.9,2,ok,50.0,94,64,202.98908930271864,127.49999450534233,173.4366865584312,1.3532605953514576,0.10624322633043087,35.38627283457711
pc16k_pd2.4k_r0,16000.0,2400.0,16252.0,2440.5,0,ok,16.666666666666668,62,39,157.88042219355702,119.99999424006091,149.96197337620055,1.0525361479570468,0.08790009962093064,31.689776109381196
pc16k_pd2.4k_r1,16000.0,2400.0,16024.2,2331.5,1,ok,16.666666666666668,59,35,150.36232070997357,119.99999424006091,149.24387520334034,1.002415471399824,0.09085799425190776,30.598861406648865
