time_s,vtk_index,droplet_in_frame,x_min_um,x_max_um,x_centroid_um,L_um,w_um,V_nL,n_cells,V1_nL,c1,V2_nL,c2,V3_nL,c3,dye_closure_err,dye_outside_frac,core_bias_strict,asym_strict
0.3275,32769,0,4609.999945387244,5810.000002384186,5192.455953566488,1200.0000569969416,676.9230749341659,488.3811073362558,338,154.18949949385777,0.31571552866744407,136.47871050485793,0.27945124914688974,197.71289733754008,0.4048332221856661,0.18592620130230567,0.20244978572296307,-0.08594024018430563,-0.09646083938309946
0.33,33019,0,4669.999936595559,5870.000226423144,5273.040980500274,1200.0002898275852,676.9230749341659,480.45510782025144,351,151.60370057178116,0.31554186458664807,134.26059701478076,0.27944462412711096,194.59081023368955,0.405013511286241,0.19260370791917233,0.22550855299689454,-0.08527525998277419,-0.09610408472409665
0.3325,33269,0,4789.999919012189,5990.000208839774,5353.966564518379,1200.0002898275852,738.4615382761694,483.4514104605363,351,152.67979534300736,0.31581207964118757,135.32457644248544,0.2799135001252248,195.4470386750435,0.4042744202335876,0.19395959886945838,0.22270461502755304,-0.08425780744215433,-0.09426813206275708
0.335,33519,0,4849.999910220504,6050.000200048089,5434.9457891167785,1200.0002898275852,738.4615382761694,483.9687580209051,351,152.95524878981882,0.3160436417741079,135.64108391620024,0.2802682645691381,195.37242531488607,0.403688093656754,0.19914595572796367,0.2202830126033984,-0.08408638412412256,-0.09305230302157735
0.3375,33769,0,4969.999892637134,6110.000191256404,5515.942827983519,1140.0002986192703,738.4615382761694,475.34637707265756,338,150.0365444329255,0.31563624268454693,133.21092963851635,0.2802397074295042,192.09890300121575,0.4041240498859489,0.20497212950251842,0.22335326990538334,-0.08356352173983805,-0.09282377023939514
0.34,34019,0,5029.9998838454485,6230.000173673034,5596.837109518446,1200.0002898275852,738.4615382761694,478.34591645735946,351,151.20316784352505,0.31609586836935727,134.23728286256843,0.2806280523030964,192.90546575126598,0.4032760793275464,0.20708466695986955,0.22930608026305818,-0.08284693092829026,-0.09196900548835502
0.3425,34269,0,5089.999875053763,6290.000164881349,5677.187106396817,1200.0002898275852,738.4615382761694,477.6995706877325,351,151.05173828678676,0.3162065606827346,134.18645113594974,0.2809013433752196,192.46138126499602,0.4028920959420458,0.21181844660804308,0.22899322225655527,-0.08199629037613604,-0.09020556348502867
0.345,34519,0,5209.999857470393,6350.0001560896635,5757.654114795647,1140.0002986192703,738.4615382761694,466.5422050629217,338,147.35662946217923,0.3158484438558041,130.98088756464506,0.28074820700729514,188.20468803609742,0.4034033491369009,0.2178426207531773,0.23579452543860754,-0.0815030997502249,-0.09015451924301349
0.3475,34769,0,5269.999848678708,6470.000138506293,5838.578235209149,1200.0002898275852,738.4615382761694,471.4138968918626,351,149.0833942426275,0.316247347024701,132.59823781493932,0.2812777448632491,189.7322648342957,0.4024749081120498,0.21917266968951116,0.23846518612666903,-0.08066871033182416,-0.0895636088454485
0.35,35019,0,5329.999839887023,6530.000129714608,5919.1137138259155,1200.0002898275852,738.4615382761694,472.4757071427849,351,149.38411861618727,0.3161731203484765,132.96536916460352,0.2814226576191369,190.12621936199406,0.4024042220323865,0.2227974502168189,0.23537262586530436,-0.08003154286148811,-0.08830479793934054
